,abv,ibu,id,name,style,brewery_id,ounces
2357,0.049,30.0,1838,Hefe Lemon,Radler,296,12.0
2358,0.049,30.0,1837,Hefe Black,Hefeweizen,296,12.0
2359,0.049,30.0,1836,Widmer Brothers Hefeweizen,Hefeweizen,296,12.0
2360,0.08199999999999999,100.0,1619,Hop Slayer Double IPA,American Double / Imperial IPA,361,12.0
2361,0.045,,1618,Pumpkin Ale,Pumpkin Ale,361,12.0
2362,0.05,,1364,Big Bowl Blonde Ale,American Brown Ale,361,12.0
2363,0.052000000000000005,27.0,971,Phat Chance,American Blonde Ale,361,12.0
2364,0.08199999999999999,100.0,740,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12.0
2365,0.08199999999999999,100.0,430,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12.0
2366,0.042,13.0,398,Wild Onion Summer Wit,Witbier,361,12.0
2367,0.06,23.0,366,Jack Stout,Oatmeal Stout,361,12.0
2368,0.045,,334,Wild Onion Pumpkin Ale (2010),Pumpkin Ale,361,12.0
2369,0.055999999999999994,41.0,162,Paddy Pale Ale,American Pale Ale (APA),361,12.0
2370,0.068,21.0,2253,Blonde Hunny,Belgian Pale Ale,181,12.0
2371,0.057,20.0,1318,Wild Wolf Wee Heavy Scottish Style Ale,Scotch Ale / Wee Heavy,181,12.0
2372,0.045,25.0,1195,Wild Wolf American Pilsner,American Pilsner,181,12.0
2373,0.051,45.0,1194,Alpha Ale,American Pale Ale (APA),181,12.0
2374,0.054000000000000006,,826,Mystical Stout,Irish Dry Stout,499,16.0
2375,0.075,,825,Bodacious Bock,Bock,499,16.0
2376,0.05,,813,Ambitious Lager,Munich Helles Lager,499,16.0
2377,0.07200000000000001,,324,Wyoming Pale Ale,American Pale Ale (APA),550,16.0
2378,0.05,,323,Wind River Blonde Ale,American Blonde Ale,550,16.0
2379,0.07400000000000001,83.0,762,Ace IPA,American IPA,509,16.0
2380,0.08,31.0,761,P-51 Porter,American Porter,509,16.0
2381,0.055,,2149,#001 Golden Amber Lager,American Amber / Red Lager,211,12.0
2382,0.071,60.0,2148,#002 American I.P.A.,American IPA,211,12.0
2383,0.052000000000000005,,2147,#003 Brown & Robust Porter,American Porter,211,12.0
2384,0.048,38.0,2146,#004 Session I.P.A.,American IPA,211,12.0
2385,0.059000000000000004,,2047,Tarasque,Saison / Farmhouse Ale,239,12.0
2386,0.062,61.0,1470,Ananda India Pale Ale,American IPA,239,12.0
2387,0.045,23.0,1469,Tiny Bomb,American Pilsner,239,12.0
2388,0.057999999999999996,72.0,2627,Train Hopper,American IPA,14,12.0
2389,0.045,,2626,Edward’s Portly Brown,American Brown Ale,14,12.0
2390,0.059000000000000004,135.0,1676,Troopers Alley IPA,American IPA,344,12.0
2391,0.047,15.0,1468,Wolverine Premium Lager,American Pale Lager,402,12.0
2392,0.05,,822,Woodchuck Amber Hard Cider,Cider,501,12.0
2393,0.065,82.0,2417,4000 Footer IPA,American IPA,109,12.0
2394,0.027999999999999997,15.0,2306,Summer Brew,American Pilsner,109,12.0
2395,0.065,69.0,1697,Be Hoppy IPA,American IPA,339,16.0
2396,0.069,69.0,2194,Worthy IPA,American IPA,199,12.0
2397,0.045,25.0,1514,Easy Day Kolsch,Kölsch,199,12.0
2398,0.077,30.0,1513,Lights Out Vanilla Cream Extra Stout,American Double / Imperial IPA,199,12.0
2399,0.069,69.0,1512,Worthy IPA (2013),American IPA,199,12.0
2400,0.06,50.0,1511,Worthy Pale,American Pale Ale (APA),199,12.0
2401,0.042,,1345,Patty's Chile Beer,Chile Beer,424,12.0
2402,0.08199999999999999,,1316,Colorojo Imperial Red Ale,American Strong Ale,424,12.0
2403,0.055,,1045,Wynkoop Pumpkin Ale,Pumpkin Ale,424,12.0
2404,0.075,,1035,Rocky Mountain Oyster Stout,American Stout,424,12.0
2405,0.067,45.0,928,Belgorado,Belgian IPA,424,12.0
2406,0.052000000000000005,,807,Rail Yard Ale,American Amber / Red Ale,424,12.0
2407,0.055,,620,B3K Black Lager,Schwarzbier,424,12.0
2408,0.055,40.0,145,Silverback Pale Ale,American Pale Ale (APA),424,12.0
2409,0.052000000000000005,,84,Rail Yard Ale (2009),American Amber / Red Ale,424,12.0
